coverage,approach
0.8959469030774251,cf*-cvx
0.8997403842313376,cf*-cvx
0.9015981425482514,cf*-cvx
0.9001453999296968,cf*-cvx
0.9016360638417085,cf*-cvx
0.8970663428352295,cf*-cvx
0.8968758993380872,cf*-cvx
0.8947660931761067,cf*-cvx
0.9001214064099411,cf*-cvx
0.8997113651947887,cf*-cvx
0.8999991961996319,cf*-cvx
0.9016081660166595,cf*-cvx
0.8996336579778895,cf*-cvx
0.9026309299346842,cf*-cvx
0.8972228682325958,cf*-cvx
0.9020382114793986,cf*-cvx
0.9000913169492198,cf*-cvx
0.8985936105370654,cf*-cvx
0.8977998298386648,cf*-cvx
0.9015484779165933,cf*-cvx
0.9020694605048049,cf*-cvx
0.9008439160295452,cf*-cvx
0.9011161957337595,cf*-cvx
0.8984932719687966,cf*-cvx
0.9017842854856777,cf*-cvx
0.9005608974358974,cf*-cvx
0.8997193609082501,cf*-cvx
0.9026706231454006,cf*-cvx
0.8992019926386597,cf*-cvx
0.8976269359415373,cf*-cvx
0.9010446616829596,cf*-cvx
0.9034427825471281,cf*-cvx
0.9007432480979715,cf*-cvx
0.9006142447035428,cf*-cvx
0.8996909043233665,cf*-cvx
0.8975923469592829,cf*-cvx
0.9019114888862285,cf*-cvx
0.8963395977261381,cf*-cvx
0.9007474486129079,cf*-cvx
0.9027203429823789,cf*-cvx
0.899981341316005,cf*-cvx
0.8982676004423148,cf*-cvx
0.9019085448556481,cf*-cvx
0.9029405944512605,cf*-cvx
0.9014600597553414,cf*-cvx
0.9023323967248222,cf*-cvx
0.8958071445620177,cf*-cvx
0.9003963011889036,cf*-cvx
0.8969384294918374,cf*-cvx
0.8987072767807022,cf*-cvx
0.9003756973781806,cf*-cvx
0.9024978262587938,cf*-cvx
0.9019402540291078,cf*-cvx
0.9009373262371912,cf*-cvx
0.9018906857334805,cf*-cvx
0.9024142252488709,cf*-cvx
0.9016137803083616,cf*-cvx
0.8993778612513206,cf*-cvx
0.8977095053111752,cf*-cvx
0.9000047982342498,cf*-cvx
0.9041428101084887,cf*-cvx
0.9030744258553911,cf*-cvx
0.8993824599476606,cf*-cvx
0.8974114441416894,cf*-cvx
0.8990874062056378,cf*-cvx
0.8989124406182932,cf*-cvx
0.9021189596969745,cf*-cvx
0.8993053899829924,cf*-cvx
0.9004721063813046,cf*-cvx
0.9006176033111298,cf*-cvx
0.9002963094536441,cf*-cvx
0.8993965859468043,cf*-cvx
0.9037322770635914,cf*-cvx
0.9001278057352824,cf*-cvx
0.9012345679012346,cf*-cvx
0.9059103838953587,cf*-cvx
0.9030302065760576,cf*-cvx
0.8939527847446156,cf*-cvx
0.8966180720775384,cf*-cvx
0.8993495791157814,cf*-cvx
0.9007052118819446,cf*-cvx
0.8988889245174116,cf*-cvx
0.9017119031391573,cf*-cvx
0.9008708423464052,cf*-cvx
0.9011309447093697,cf*-cvx
0.899013617602132,cf*-cvx
0.8982135900717904,cf*-cvx
0.9033995207933005,cf*-cvx
0.9031397725820877,cf*-cvx
0.8993594946678132,cf*-cvx
0.9000625747530674,cf*-cvx
0.8996249387614145,cf*-cvx
0.8987609329446065,cf*-cvx
0.9017261386713084,cf*-cvx
0.8989272867420349,cf*-cvx
0.903028195176704,cf*-cvx
0.8979017482743049,cf*-cvx
0.9011480723027557,cf*-cvx
0.9022474653978557,cf*-cvx
0.9034355440758524,cf*-cvx
0.8969973817614617,cf*-als
0.8982226305068499,cf*-als
0.9009359067444328,cf*-als
0.8978605438916052,cf*-als
0.9025005202747051,cf*-als
0.8974817844816566,cf*-als
0.8955248936782528,cf*-als
0.8979879502545267,cf*-als
0.9032795600803029,cf*-als
0.8967771771197117,cf*-als
0.9010602126855775,cf*-als
0.9015680421140482,cf*-als
0.9020948915188979,cf*-als
0.9033867156734051,cf*-als
0.8989791253999695,cf*-als
0.8997088269315145,cf*-als
0.9014094572596975,cf*-als
0.9020995328117336,cf*-als
0.89885737458553,cf*-als
0.9015324812439013,cf*-als
0.9032736552494118,cf*-als
0.8990378385382921,cf*-als
0.8998490754864693,cf*-als
0.9000486555902083,cf*-als
0.8996959513522164,cf*-als
0.9020032051282051,cf*-als
0.8977740217495296,cf*-als
0.9041462827812976,cf*-als
0.9001935524812793,cf*-als
0.9034129638729927,cf*-als
0.9001102165995783,cf*-als
0.9027669383453081,cf*-als
0.896288549508626,cf*-als
0.8990024537712701,cf*-als
0.8973468625596936,cf*-als
0.9005024317697656,cf*-als
0.9021429426553335,cf*-als
0.8982317986376154,cf*-als
0.9005557951224187,cf*-als
0.8998808200222362,cf*-als
0.9044675379460845,cf*-als
0.8995096075257616,cf*-als
0.9012465284505586,cf*-als
0.9064708908853445,cf*-als
0.9034653266007908,cf*-als
0.9005289556949286,cf*-als
0.8975097462009707,cf*-als
0.9015411712901805,cf*-als
0.8975924042048152,cf*-als
0.8984827342860351,cf*-als
0.9006014382921087,cf*-als
0.9007983558611967,cf*-als
0.9043967815462431,cf*-als
0.9013265549289062,cf*-als
0.8996512948478014,cf*-als
0.9039906047780063,cf*-als
0.9026533811016569,cf*-als
0.9054192589114528,cf*-als
0.9002321120585438,cf*-als
0.8976936487372646,cf*-als
0.9016935814147709,cf*-als
0.901603908522572,cf*-als
0.902286653475458,cf*-als
0.8983571085109793,cf*-als
0.901423646319205,cf*-als
0.9016454058051396,cf*-als
0.9002488232404077,cf*-als
0.9018565320363041,cf*-als
0.9000708159571957,cf*-als
0.9054032205910884,cf*-als
0.9008453296947286,cf*-als
0.8996665343390234,cf*-als
0.9034055135367768,cf*-als
0.8970125409377746,cf*-als
0.9023540153229328,cf*-als
0.8998484516949908,cf*-als
0.8966244389979947,cf*-als
0.8988255901906923,cf*-als
0.8968096827247034,cf*-als
0.9024047081145834,cf*-als
0.8995033270718584,cf*-als
0.899361893157186,cf*-als
0.8992182175359821,cf*-als
0.9006712909379715,cf*-als
0.9000032220646991,cf*-als
0.8999236244271832,cf*-als
0.9026498016425113,cf*-als
0.900489486711108,cf*-als
0.9016545291938163,cf*-als
0.90091856661818,cf*-als
0.9024467520534816,cf*-als
0.901897793804663,cf*-als
0.8974408811143505,cf*-als
0.8969635431776424,cf*-als
0.8970885791366906,cf*-als
0.901162744741564,cf*-als
0.8992161796013161,cf*-als
0.8995436735088767,cf*-als
0.9021214245763847,cf*-als
0.8978000534399974,cf*-als
0.896551724137931,cf-cvx
0.8991013300315533,cf-cvx
0.8966832358596698,cf-cvx
0.8969897421148499,cf-cvx
0.8993228424608193,cf-cvx
0.8952048446887383,cf-cvx
0.8993860518658268,cf-cvx
0.9007265287711838,cf-cvx
0.9019464700887934,cf-cvx
0.8980130443795946,cf-cvx
0.8988015336511024,cf-cvx
0.9015439677724815,cf-cvx
0.8991381621164984,cf-cvx
0.899361162159797,cf-cvx
0.9015694042358677,cf-cvx
0.8974831478600774,cf-cvx
0.8942946758248302,cf-cvx
0.8997434887143075,cf-cvx
0.9011473962930273,cf-cvx
0.902684241677731,cf-cvx
0.899469675824395,cf-cvx
0.8990702345471038,cf-cvx
0.9002526169664979,cf-cvx
0.8989718515446156,cf-cvx
0.8983917426788286,cf-cvx
0.8975560897435897,cf-cvx
0.9028366871830851,cf-cvx
0.9012831822920844,cf-cvx
0.8968698438888184,cf-cvx
0.8987999936591474,cf-cvx
0.8987924094307073,cf-cvx
0.9011014651336804,cf-cvx
0.8951389498726658,cf-cvx
0.903027921671772,cf-cvx
0.8954477914359044,cf-cvx
0.895735359138229,cf-cvx
0.9029410591005228,cf-cvx
0.8976118008921526,cf-cvx
0.8976250938303547,cf-cvx
0.9001207797090088,cf-cvx
0.8991863191283961,cf-cvx
0.9037724963541083,cf-cvx
0.9001081831686366,cf-cvx
0.897019828234456,cf-cvx
0.9003326004848075,cf-cvx
0.8997157970162712,cf-cvx
0.8987668072241228,cf-cvx
0.9021496337216285,cf-cvx
0.8949119152577952,cf-cvx
0.9001587836212289,cf-cvx
0.9013673449643652,cf-cvx
0.8991621215714173,cf-cvx
0.9073446145668055,cf-cvx
0.899086504090873,cf-cvx
0.9009709359054338,cf-cvx
0.899750143844632,cf-cvx
0.8998864436056554,cf-cvx
0.8973275423563016,cf-cvx
0.8994825835361627,cf-cvx
0.902172000703741,cf-cvx
0.902079033799356,cf-cvx
0.9008807032769234,cf-cvx
0.8976670709133848,cf-cvx
0.9011299887802533,cf-cvx
0.8978300547556277,cf-cvx
0.8979478646699944,cf-cvx
0.8982281249504731,cf-cvx
0.899790186447952,cf-cvx
0.8992761035486663,cf-cvx
0.8984026385565543,cf-cvx
0.8969375973905391,cf-cvx
0.8978404128622469,cf-cvx
0.9012217767966016,cf-cvx
0.8991852384375749,cf-cvx
0.9017982612837918,cf-cvx
0.9053349865875698,cf-cvx
0.9046057866760034,cf-cvx
0.8975277678251523,cf-cvx
0.901232695163428,cf-cvx
0.900981661186194,cf-cvx
0.9012942150339075,cf-cvx
0.8980952991727057,cf-cvx
0.8970773363268252,cf-cvx
0.8998172109098747,cf-cvx
0.8976752803196288,cf-cvx
0.8981279859598947,cf-cvx
0.9014731720502771,cf-cvx
