length,approach
4.7115,cf*-als
4.7205,cf*-als
4.6672,cf*-als
4.7557,cf*-als
4.6696,cf*-als
4.6879,cf*-als
4.7582,cf*-als
4.6292,cf*-als
4.6648,cf*-als
4.6387,cf*-als
4.8497,cf*-als
4.7081,cf*-als
4.8107,cf*-als
4.6087,cf*-als
4.7044,cf*-als
4.7264,cf*-als
4.7929,cf*-als
4.6966,cf*-als
4.7676,cf*-als
4.7263,cf*-als
4.735,cf*-als
4.7076,cf*-als
4.7628,cf*-als
4.7967,cf*-als
4.7111,cf*-als
4.6849,cf*-als
4.7536,cf*-als
4.814,cf*-als
4.5745,cf*-als
4.6895,cf*-als
4.7051,cf*-als
4.7355,cf*-als
4.8136,cf*-als
4.6826,cf*-als
4.6959,cf*-als
4.7227,cf*-als
4.7649,cf*-als
4.8484,cf*-als
4.6676,cf*-als
4.6774,cf*-als
4.6883,cf*-als
4.7399,cf*-als
4.7143,cf*-als
4.6602,cf*-als
4.5922,cf*-als
4.7827,cf*-als
4.7921,cf*-als
4.7419,cf*-als
4.8266,cf*-als
4.7393,cf*-als
4.7336,cf*-als
4.7601,cf*-als
4.6111,cf*-als
4.7443,cf*-als
4.704,cf*-als
4.8259,cf*-als
4.6203,cf*-als
4.7672,cf*-als
4.9178,cf*-als
4.7582,cf*-als
4.7589,cf*-als
4.6635,cf*-als
4.7533,cf*-als
4.7301,cf*-als
4.6982,cf*-als
4.6677,cf*-als
4.7776,cf*-als
4.7661,cf*-als
4.7312,cf*-als
4.6587,cf*-als
4.7548,cf*-als
4.7104,cf*-als
4.769,cf*-als
4.7834,cf*-als
4.7798,cf*-als
4.7249,cf*-als
4.6168,cf*-als
4.7608,cf*-als
4.6986,cf*-als
4.6723,cf*-als
4.7006,cf*-als
4.7485,cf*-als
4.7852,cf*-als
4.7357,cf*-als
4.7103,cf*-als
4.7225,cf*-als
4.7009,cf*-als
4.7617,cf*-als
4.7165,cf*-als
4.7395,cf*-als
4.7714,cf*-als
4.6167,cf*-als
4.7965,cf*-als
4.731,cf*-als
4.7844,cf*-als
4.6881,cf*-als
4.7336,cf*-als
4.7304,cf*-als
4.7357,cf*-als
4.7337,cf*-als
4.5763,cf-als
4.7234,cf-als
4.6297,cf-als
4.8002,cf-als
4.5962,cf-als
4.6994,cf-als
4.784,cf-als
4.6304,cf-als
4.6605,cf-als
4.7185,cf-als
4.7684,cf-als
4.6479,cf-als
4.7518,cf-als
4.6351,cf-als
4.6654,cf-als
4.7153,cf-als
4.6934,cf-als
4.6797,cf-als
4.6517,cf-als
4.7334,cf-als
4.704,cf-als
4.6399,cf-als
4.6739,cf-als
4.8008,cf-als
4.6571,cf-als
4.6431,cf-als
4.6437,cf-als
4.6492,cf-als
4.6042,cf-als
4.7379,cf-als
4.7273,cf-als
4.6981,cf-als
4.7415,cf-als
4.6207,cf-als
4.6611,cf-als
4.7175,cf-als
4.6736,cf-als
4.7047,cf-als
4.7024,cf-als
4.6696,cf-als
4.73,cf-als
4.7448,cf-als
4.6555,cf-als
4.6564,cf-als
4.5537,cf-als
4.7248,cf-als
4.6905,cf-als
4.7865,cf-als
4.7759,cf-als
4.7713,cf-als
4.7231,cf-als
4.7961,cf-als
4.722,cf-als
4.7751,cf-als
4.7595,cf-als
4.8473,cf-als
4.5938,cf-als
4.7205,cf-als
4.7815,cf-als
4.6569,cf-als
4.6913,cf-als
4.7092,cf-als
4.6847,cf-als
4.7256,cf-als
4.7585,cf-als
4.7138,cf-als
4.7442,cf-als
4.7784,cf-als
4.7411,cf-als
4.6618,cf-als
4.7183,cf-als
4.6429,cf-als
4.7746,cf-als
4.7765,cf-als
4.683,cf-als
4.6258,cf-als
4.6191,cf-als
4.7555,cf-als
4.6022,cf-als
4.6019,cf-als
4.7316,cf-als
4.7338,cf-als
4.7271,cf-als
4.6762,cf-als
4.6724,cf-als
4.731,cf-als
4.6725,cf-als
4.6856,cf-als
4.7353,cf-als
4.7819,cf-als
4.7604,cf-als
4.6432,cf-als
4.8008,cf-als
4.7851,cf-als
4.7579,cf-als
4.7134,cf-als
4.7243,cf-als
4.7791,cf-als
4.7278,cf-als
4.6691,cf-als
