coverage,approach
0.9015871241757013,cf*-cvx
0.8981389232056749,cf*-cvx
0.9005572775306342,cf*-cvx
0.9038341670795442,cf*-cvx
0.9014794997421351,cf*-cvx
0.9006405422781716,cf*-cvx
0.8973988322606175,cf*-cvx
0.8977018343452563,cf*-cvx
0.9030887937886902,cf*-cvx
0.9061341056272877,cf*-cvx
0.9003132602922702,cf*-cvx
0.8998404849258255,cf*-cvx
0.8998333080769814,cf*-cvx
0.8985737178209533,cf*-cvx
0.8960874247198182,cf*-cvx
0.8971359064027977,cf*-cvx
0.8991819250527401,cf*-cvx
0.9005965655215722,cf*-cvx
0.8984130781499202,cf*-cvx
0.8982107737324315,cf*-cvx
0.8979065789790658,cf*-cvx
0.9033684074415297,cf*-cvx
0.9010366665322093,cf*-cvx
0.8988230600438859,cf*-cvx
0.8987876873739705,cf*-cvx
0.8999748802761549,cf*-cvx
0.9001888745762177,cf*-cvx
0.8969403292833804,cf*-cvx
0.8991281288922818,cf*-cvx
0.9007048339398552,cf*-cvx
0.900218166925264,cf*-cvx
0.9015506296180664,cf*-cvx
0.9015601842260434,cf*-cvx
0.9047634192301882,cf*-cvx
0.8999959908591589,cf*-cvx
0.9040542490261145,cf*-cvx
0.9030488145271267,cf*-cvx
0.8943379762789645,cf*-cvx
0.9026235235668382,cf*-cvx
0.9001244479148874,cf*-cvx
0.9016170144973713,cf*-cvx
0.9005053645160777,cf*-cvx
0.8989141716566866,cf*-cvx
0.8991964937910883,cf*-cvx
0.9025020126096972,cf*-cvx
0.8980666866737218,cf*-cvx
0.9011263978751488,cf*-cvx
0.901920008889665,cf*-cvx
0.8972654017371984,cf*-cvx
0.8982802634421939,cf*-cvx
0.8991513811092146,cf*-cvx
0.8995346665378546,cf*-cvx
0.902244075036259,cf*-cvx
0.9028364126683468,cf*-cvx
0.8953094205754829,cf*-cvx
0.9017478729167331,cf*-cvx
0.8961520777511772,cf*-cvx
0.9038736065442297,cf*-cvx
0.9022434496515223,cf*-cvx
0.8981217894686621,cf*-cvx
0.8974136005361075,cf*-cvx
0.9013249231608766,cf*-cvx
0.8976584208472997,cf*-cvx
0.9017940843704542,cf*-cvx
0.9045002450941636,cf*-cvx
0.9026742868166582,cf*-cvx
0.9027771161815843,cf*-cvx
0.901855759782206,cf*-cvx
0.8992471019400071,cf*-cvx
0.9024492460448585,cf*-cvx
0.90026576698442,cf*-cvx
0.9011092887786513,cf*-cvx
0.8979470088053516,cf*-cvx
0.9003180314176491,cf*-cvx
