coverage,approach
0.9027989202540156,cf-cvx
0.9035717762717387,cf-cvx
0.901478891319101,cf-cvx
0.906346290707984,cf-cvx
0.9043365703490942,cf-cvx
0.902557892601916,cf-cvx
0.90066472713752,cf-cvx
0.9034585096673304,cf-cvx
0.8996986021030168,cf-cvx
0.9036526712595866,cf-cvx
0.9024364870893592,cf-cvx
0.9023142223529318,cf-cvx
0.9005554375088122,cf-cvx
0.9035219813447929,cf-cvx
0.9016688589443933,cf-cvx
0.9008463969119506,cf-cvx
0.9000055581140525,cf-cvx
0.9021330212227252,cf-cvx
0.9012791065975286,cf-cvx
0.9024502579218865,cf-cvx
0.9014137768209429,cf-cvx
0.9044947190350692,cf-cvx
0.9034452442660482,cf-cvx
0.9034510815638024,cf-cvx
0.9037190535491906,cf-cvx
0.9017395702755603,cf-cvx
0.9046748911233509,cf-cvx
0.9032377424606682,cf-cvx
0.9014841629317111,cf-cvx
0.9023677421282784,cf-cvx
0.9055733475936686,cf-cvx
0.9005814220389491,cf-cvx
0.9036154893793257,cf-cvx
0.9013664062282333,cf-cvx
0.9008903847655507,cf-cvx
0.9028455163515459,cf-cvx
0.902481208275365,cf-cvx
0.9015565169824457,cf-cvx
0.9024579431836216,cf-cvx
0.9026661502211033,cf-cvx
0.9028116459744693,cf-cvx
0.9020364860445267,cf-cvx
0.8998431201223266,cf-cvx
0.9015834816575203,cf-cvx
0.898341816844134,cf-cvx
0.90033177077439,cf-cvx
0.904455966863573,cf-cvx
0.900667949192845,cf-cvx
0.9033227204174945,cf-cvx
0.9051810900278416,cf-cvx
0.9033381158861566,cf-cvx
0.9034244722505791,cf-cvx
0.9026911588230463,cf-cvx
0.9037071219812337,cf-cvx
0.9029674188866239,cf-cvx
0.902565487549869,cf-cvx
0.9015314783823157,cf-cvx
0.9034627471060108,cf-cvx
0.9004680144113713,cf-cvx
0.9025308517054346,cf-cvx
0.9007982624167474,cf-cvx
0.9026445777335856,cf-cvx
0.9052492453161686,cf-cvx
0.9012523148790711,cf-cvx
0.9035936896960631,cf-cvx
0.9047191443644469,cf-cvx
0.9009644752282776,cf-cvx
0.9039166478963641,cf-cvx
0.9010503217436222,cf-cvx
0.902464169319875,cf-cvx
0.9021443330891854,cf-cvx
0.9037816927387112,cf-cvx
0.9039584877687176,cf-cvx
0.8992635644922566,cf-cvx
0.8989119793920084,cf-cvx
0.9010735347594429,cf-cvx
0.9014272230756776,cf-cvx
0.9019116377242636,cf-cvx
0.9021692012612602,cf-cvx
0.9032020428262804,cf-cvx
0.9015219124925052,cf-cvx
0.8992737525293925,cf-cvx
0.9027984954928945,cf-cvx
0.902088284855887,cf-cvx
0.9051173474483172,cf-cvx
0.9036125067225933,cf-cvx
0.902329953456458,cf-cvx
0.9018443993968505,cf-cvx
0.9042559539200203,cf-cvx
0.9014098224454546,cf-cvx
0.9020730977107894,cf-cvx
0.8998419715548799,cf-cvx
0.9019724926252224,cf-cvx
0.9020547545737747,cf-cvx
0.9012456956249763,cf-cvx
0.9038185854237732,cf-cvx
0.9016409377467258,cf-cvx
0.9014142677609492,cf-cvx
0.8993459562064666,cf-cvx
0.9028769914085019,cf-cvx
0.9002671433616172,cf-als
0.8990039876258427,cf-als
0.899363346342376,cf-als
0.9000862764743536,cf-als
0.9001678966533657,cf-als
0.8987818990920913,cf-als
0.9000793084148008,cf-als
0.8962866506759443,cf-als
0.900765638250857,cf-als
0.8988930996210341,cf-als
0.9016902766580176,cf-als
0.901040466103379,cf-als
0.9016675040262765,cf-als
0.897728774595597,cf-als
0.9015890187843937,cf-als
0.8974009049127519,cf-als
0.9010754950691588,cf-als
0.9016871489253283,cf-als
0.9002910410744416,cf-als
0.8989779244497133,cf-als
0.9001072437554523,cf-als
0.9005814860287383,cf-als
0.9016590717870278,cf-als
0.9007362571938877,cf-als
0.8994351183063511,cf-als
0.9001461470947517,cf-als
0.8969134270526451,cf-als
0.900989643544316,cf-als
0.9030776561020311,cf-als
0.9010150312278989,cf-als
0.9004680674642039,cf-als
0.9005574705646361,cf-als
0.9018991374435515,cf-als
0.9017047241117165,cf-als
0.8999032930421046,cf-als
0.8989886357997122,cf-als
0.9020127913843321,cf-als
0.9027997414093192,cf-als
0.8994504840501508,cf-als
0.8991357606274814,cf-als
0.8969898521379728,cf-als
0.9006465224986638,cf-als
0.8998887940107632,cf-als
0.901785696409587,cf-als
0.9008928678531586,cf-als
0.9026527763714085,cf-als
0.8992327673529972,cf-als
0.8982184038523582,cf-als
0.8995982253289605,cf-als
0.9015459366598441,cf-als
0.9024716921890711,cf-als
0.8980359092731067,cf-als
0.898193539856517,cf-als
0.9000513407527713,cf-als
0.9010487688495886,cf-als
0.9000851919002163,cf-als
0.9011261342612101,cf-als
0.9028061403772979,cf-als
0.8982996002541326,cf-als
0.9006574083164857,cf-als
0.8988647201673465,cf-als
0.8991343779067903,cf-als
0.9014977878579757,cf-als
0.8990335999492411,cf-als
0.8986303944839833,cf-als
0.9000589291727467,cf-als
0.9003066090852697,cf-als
0.89983036961882,cf-als
0.8982233024870562,cf-als
0.898611493124744,cf-als
0.9002665777412548,cf-als
