length,approach
4.1625,cf*-als
4.1873,cf*-als
4.145,cf*-als
4.194,cf*-als
4.1788,cf*-als
4.1108,cf*-als
4.1245,cf*-als
4.1436,cf*-als
4.1428,cf*-als
4.1467,cf*-als
4.1549,cf*-als
4.2056,cf*-als
4.1289,cf*-als
4.1566,cf*-als
4.2148,cf*-als
4.1449,cf*-als
4.135,cf*-als
4.1449,cf*-als
4.1763,cf*-als
4.1289,cf*-als
4.151,cf*-als
4.1721,cf*-als
4.1668,cf*-als
4.1762,cf*-als
4.1366,cf*-als
4.1235,cf*-als
4.0992,cf*-als
4.1476,cf*-als
4.1712,cf*-als
4.1798,cf*-als
4.1268,cf*-als
4.1553,cf*-als
4.1742,cf*-als
4.1191,cf*-als
4.1196,cf*-als
4.1285,cf*-als
4.0929,cf*-als
4.1338,cf*-als
4.1416,cf*-als
4.1614,cf*-als
4.1307,cf*-als
4.1163,cf*-als
4.1268,cf*-als
4.1388,cf*-als
4.2056,cf*-als
4.1028,cf*-als
4.1142,cf*-als
4.1395,cf*-als
4.1185,cf*-als
4.1584,cf*-als
4.1552,cf*-als
4.1621,cf*-als
4.1606,cf*-als
4.0967,cf*-als
4.163,cf*-als
4.1341,cf*-als
4.1397,cf*-als
4.1487,cf*-als
4.1563,cf*-als
4.1091,cf*-als
4.1884,cf*-als
4.1296,cf*-als
4.2002,cf*-als
4.1181,cf*-als
4.1416,cf*-als
4.149,cf*-als
4.1609,cf*-als
4.1127,cf*-als
4.2012,cf*-als
4.16,cf*-als
4.1157,cf*-als
4.1727,cf*-als
4.2044,cf*-als
4.1705,cf*-als
4.1414,cf*-als
4.1994,cf*-als
4.1086,cf*-als
4.0919,cf*-als
4.1753,cf*-als
4.1404,cf*-als
4.2102,cf*-als
4.1241,cf*-als
4.1148,cf*-als
4.1924,cf*-als
4.1745,cf*-als
4.168,cf*-als
4.1575,cf*-als
4.1421,cf*-als
4.131,cf*-als
4.1516,cf*-als
4.1484,cf*-als
4.149,cf*-als
4.1163,cf*-als
4.074,cf*-als
4.1535,cf*-als
4.1633,cf*-als
4.1697,cf*-als
4.1365,cf*-als
4.1111,cf*-als
4.1515,cf*-als
4.0894,cf-als
4.1406,cf-als
4.1661,cf-als
4.1498,cf-als
4.1095,cf-als
4.1307,cf-als
4.1201,cf-als
4.142,cf-als
4.1204,cf-als
4.1215,cf-als
4.1779,cf-als
4.1808,cf-als
4.1734,cf-als
4.1526,cf-als
4.1807,cf-als
4.1469,cf-als
4.1407,cf-als
4.2334,cf-als
4.1551,cf-als
4.0967,cf-als
4.1029,cf-als
4.1438,cf-als
4.1169,cf-als
4.1866,cf-als
4.1298,cf-als
4.177,cf-als
4.0734,cf-als
4.1667,cf-als
4.148,cf-als
4.1421,cf-als
4.123,cf-als
4.1319,cf-als
4.1832,cf-als
4.1874,cf-als
4.1283,cf-als
4.1298,cf-als
4.1551,cf-als
4.1212,cf-als
4.1256,cf-als
4.1192,cf-als
4.1471,cf-als
4.1482,cf-als
4.1256,cf-als
4.1439,cf-als
4.1732,cf-als
4.1106,cf-als
4.122,cf-als
4.1334,cf-als
4.1538,cf-als
4.157,cf-als
4.1588,cf-als
4.1506,cf-als
4.139,cf-als
4.1113,cf-als
4.1855,cf-als
4.1739,cf-als
4.1323,cf-als
4.0785,cf-als
4.1599,cf-als
4.1109,cf-als
4.1783,cf-als
4.0887,cf-als
4.162,cf-als
4.1378,cf-als
4.1104,cf-als
4.0991,cf-als
4.1503,cf-als
4.133,cf-als
4.1616,cf-als
4.1521,cf-als
4.1298,cf-als
4.1372,cf-als
4.1822,cf-als
4.1809,cf-als
4.1298,cf-als
4.1917,cf-als
4.1102,cf-als
4.1267,cf-als
4.1171,cf-als
4.1101,cf-als
4.1855,cf-als
4.1287,cf-als
4.1524,cf-als
4.1499,cf-als
4.1295,cf-als
4.1239,cf-als
4.1711,cf-als
4.1448,cf-als
4.1169,cf-als
4.1668,cf-als
4.1117,cf-als
4.1343,cf-als
4.1739,cf-als
4.136,cf-als
4.1712,cf-als
4.1255,cf-als
4.1682,cf-als
4.1915,cf-als
4.1354,cf-als
4.1477,cf-als
