coverage,approach
0.904880425819027,cf-cvx
0.9050591721900719,cf-cvx
0.9051661181084244,cf-cvx
0.900822032671681,cf-cvx
0.9004821832296273,cf-cvx
0.9030049125956958,cf-cvx
0.9073345384454055,cf-cvx
0.8942788307741523,cf-cvx
0.905123330164607,cf-cvx
0.8988243765595387,cf-cvx
0.8961401015025175,cf-cvx
0.8993673319584746,cf-cvx
0.8996995828093498,cf-cvx
0.8972341106355746,cf-cvx
0.9010972478536468,cf-cvx
0.8948074152721908,cf-cvx
0.9045141407723518,cf-cvx
0.9010780754652826,cf-cvx
0.8966015582025664,cf-cvx
0.899766853117464,cf-cvx
0.899170635079435,cf-cvx
0.8983032194809613,cf-cvx
0.9009110477048606,cf-cvx
0.8979784649530608,cf-cvx
0.8953829984234629,cf-cvx
0.9035240989491287,cf-cvx
0.8949201249264112,cf-cvx
0.9049171638171153,cf-cvx
0.8958413505989834,cf-cvx
0.9027112440119611,cf-cvx
0.9029318858833644,cf-cvx
0.9011053957537176,cf-cvx
0.895736350772277,cf-cvx
0.898031206355404,cf-cvx
0.8995016611295681,cf-cvx
0.9046922942599845,cf-cvx
0.8949093762024456,cf-cvx
0.9023129700092878,cf-cvx
0.9033452049731014,cf-cvx
0.9006138219916224,cf-cvx
0.8962788044946518,cf-cvx
0.9004107443929138,cf-cvx
0.8992543288960064,cf-cvx
0.90190233672858,cf-cvx
0.9017227251833643,cf-cvx
0.8982255036916531,cf-cvx
0.9009057618041296,cf-cvx
0.8998964135052769,cf-cvx
0.8996101120615012,cf-cvx
0.9027240461844883,cf-cvx
0.8952325250071235,cf-cvx
0.8982075735764555,cf-cvx
0.9020954155273095,cf-cvx
0.9019483439076784,cf-cvx
0.9000563976382865,cf-cvx
0.8977848892444622,cf-cvx
0.8952058866137484,cf-cvx
0.9002202202202202,cf-cvx
0.8996109844393776,cf-cvx
0.8996357021852872,cf-cvx
0.8992279439322389,cf-cvx
0.900719503597518,cf-cvx
0.8963724093102328,cf-cvx
0.8967426367987517,cf-cvx
0.901770362669439,cf-cvx
0.9050858146763368,cf-cvx
0.8971891567470242,cf-cvx
0.9026984872874154,cf-cvx
0.9017295990247899,cf-cvx
0.8969199466077419,cf-cvx
0.8983367566755173,cf-cvx
0.900193686907866,cf-cvx
0.9003339839947282,cf-cvx
0.9060740355838459,cf-cvx
