length,approach
4.2176,cf-als
4.2719,cf-als
4.2138,cf-als
4.1856,cf-als
4.2038,cf-als
4.0905,cf-als
4.2288,cf-als
4.2606,cf-als
4.2405,cf-als
4.1925,cf-als
4.212,cf-als
4.2535,cf-als
4.2056,cf-als
4.2433,cf-als
4.3904,cf-als
4.2673,cf-als
4.2784,cf-als
4.1615,cf-als
4.1674,cf-als
4.2748,cf-als
4.1837,cf-als
4.289,cf-als
4.2409,cf-als
4.11,cf-als
4.2034,cf-als
4.1839,cf-als
4.2792,cf-als
4.2667,cf-als
4.1897,cf-als
4.2677,cf-als
4.2476,cf-als
4.1856,cf-als
4.2226,cf-als
4.1429,cf-als
4.2123,cf-als
4.192,cf-als
4.1769,cf-als
4.2038,cf-als
4.1373,cf-als
4.2583,cf-als
4.2186,cf-als
4.1721,cf-als
4.1333,cf-als
4.1931,cf-als
4.2009,cf-als
4.1676,cf-als
4.2224,cf-als
4.1501,cf-als
4.1264,cf-als
4.2445,cf-als
4.2305,cf-als
4.2187,cf-als
4.2297,cf-als
4.255,cf-als
4.2779,cf-als
4.2238,cf-als
4.2227,cf-als
4.19,cf-als
4.1797,cf-als
4.1579,cf-als
4.1689,cf-als
4.2409,cf-als
4.1816,cf-als
4.1809,cf-als
4.1319,cf-als
4.2286,cf-als
4.2619,cf-als
4.1964,cf-als
4.1155,cf-als
4.1817,cf-als
4.1952,cf-als
4.1713,cf-als
4.2831,cf-als
4.208,cf-als
4.1565,cf-als
4.2153,cf-als
4.1488,cf-als
4.2338,cf-als
4.2081,cf-als
4.2191,cf-als
4.2534,cf-als
4.2019,cf-als
4.1954,cf-als
4.1518,cf-als
4.1553,cf-als
4.2412,cf-als
4.1543,cf-als
4.2134,cf-als
4.1347,cf-als
4.1542,cf-als
4.2188,cf-als
4.2197,cf-als
4.1557,cf-als
4.2332,cf-als
4.3317,cf-als
4.1611,cf-als
4.2056,cf-als
4.1625,cf-als
4.1663,cf-als
4.1761,cf-als
3.0808,als
3.0892,als
3.0746,als
3.0639,als
3.0644,als
3.0544,als
3.0724,als
3.0693,als
3.0857,als
3.0787,als
3.0652,als
3.0675,als
3.0633,als
3.0824,als
3.0627,als
3.0889,als
3.0718,als
3.0563,als
3.0705,als
3.0763,als
3.0633,als
3.0697,als
3.0702,als
3.0717,als
3.07,als
3.074,als
3.0732,als
3.0825,als
3.0691,als
3.0687,als
3.0652,als
3.0838,als
3.0783,als
3.0618,als
3.0597,als
3.0579,als
3.0755,als
3.0663,als
3.077,als
3.0755,als
3.0687,als
3.076,als
3.0635,als
3.0736,als
3.056,als
3.073,als
3.0752,als
3.093,als
3.0746,als
3.0839,als
3.0816,als
3.0761,als
3.064,als
3.062,als
3.0775,als
3.0715,als
3.0954,als
3.0739,als
3.0594,als
3.0737,als
3.0691,als
3.0653,als
3.0667,als
3.0731,als
3.0794,als
3.0761,als
3.0835,als
3.0691,als
3.0603,als
3.0623,als
3.0656,als
3.0548,als
3.0695,als
3.0595,als
3.071,als
3.0627,als
3.0604,als
3.0632,als
3.0663,als
3.0642,als
3.1006,als
3.0818,als
3.075,als
3.0609,als
3.0737,als
3.0809,als
3.0735,als
3.0686,als
3.0595,als
3.0809,als
3.0888,als
3.0649,als
3.0726,als
3.0746,als
3.0765,als
3.0574,als
3.0605,als
3.06,als
3.0804,als
3.0687,als
