length,approach
4.8642,cf*-als
4.8541,cf*-als
4.8414,cf*-als
4.8694,cf*-als
4.8387,cf*-als
4.8281,cf*-als
4.7984,cf*-als
4.7494,cf*-als
4.8112,cf*-als
4.7817,cf*-als
4.8141,cf*-als
4.8272,cf*-als
4.8696,cf*-als
4.7897,cf*-als
4.8104,cf*-als
4.7814,cf*-als
4.7705,cf*-als
4.8489,cf*-als
4.8331,cf*-als
4.8241,cf*-als
4.8678,cf*-als
4.806,cf*-als
4.8327,cf*-als
4.8094,cf*-als
4.7681,cf*-als
4.8627,cf*-als
4.7959,cf*-als
4.7742,cf*-als
4.8458,cf*-als
4.8019,cf*-als
4.7791,cf*-als
4.8194,cf*-als
4.7805,cf*-als
4.7948,cf*-als
4.801,cf*-als
4.8255,cf*-als
4.7832,cf*-als
4.7904,cf*-als
4.7963,cf*-als
4.8043,cf*-als
4.8479,cf*-als
4.8845,cf*-als
4.77,cf*-als
4.7804,cf*-als
4.7555,cf*-als
4.8305,cf*-als
4.7954,cf*-als
4.7908,cf*-als
4.8341,cf*-als
4.7908,cf*-als
4.8289,cf*-als
4.779,cf*-als
4.777,cf*-als
4.809,cf*-als
4.811,cf*-als
4.8588,cf*-als
4.8367,cf*-als
4.7724,cf*-als
4.8061,cf*-als
4.7757,cf*-als
4.7803,cf*-als
4.8488,cf*-als
4.8035,cf*-als
4.8081,cf*-als
4.8055,cf*-als
4.7999,cf*-als
4.8338,cf*-als
4.8445,cf*-als
4.8106,cf*-als
4.7991,cf*-als
4.7816,cf*-als
4.7983,cf*-als
4.8496,cf*-als
4.8242,cf*-als
4.8146,cf*-als
4.7447,cf*-als
4.8067,cf*-als
4.8488,cf*-als
4.7969,cf*-als
4.8599,cf*-als
4.7929,cf*-als
4.8147,cf*-als
4.8304,cf*-als
4.8717,cf*-als
4.8504,cf*-als
4.7568,cf*-als
4.8383,cf*-als
4.8146,cf*-als
4.7773,cf*-als
4.8993,cf*-als
4.8021,cf*-als
4.8739,cf*-als
4.8121,cf*-als
4.8361,cf*-als
4.8477,cf*-als
4.8286,cf*-als
4.7937,cf*-als
4.7603,cf*-als
4.8427,cf*-als
4.7974,cf*-als
4.7837,cf-als
4.8146,cf-als
4.805,cf-als
4.8638,cf-als
4.8195,cf-als
4.8333,cf-als
4.7579,cf-als
4.7882,cf-als
4.7709,cf-als
4.8238,cf-als
4.8149,cf-als
4.845,cf-als
4.8143,cf-als
4.8061,cf-als
4.8026,cf-als
4.8078,cf-als
4.7927,cf-als
4.8495,cf-als
4.7995,cf-als
4.8233,cf-als
4.8189,cf-als
4.739,cf-als
4.8399,cf-als
4.7782,cf-als
4.7884,cf-als
4.7541,cf-als
4.7815,cf-als
4.8487,cf-als
4.8082,cf-als
4.8191,cf-als
4.7641,cf-als
4.7537,cf-als
4.801,cf-als
4.8109,cf-als
4.7617,cf-als
4.8069,cf-als
4.8288,cf-als
4.8284,cf-als
4.7939,cf-als
4.7954,cf-als
4.8264,cf-als
4.8015,cf-als
4.8,cf-als
4.7815,cf-als
4.7621,cf-als
4.8442,cf-als
4.7444,cf-als
4.8086,cf-als
4.8187,cf-als
4.7913,cf-als
4.7996,cf-als
4.7778,cf-als
4.7673,cf-als
4.7474,cf-als
4.753,cf-als
4.837,cf-als
4.7415,cf-als
4.7539,cf-als
4.7868,cf-als
4.826,cf-als
4.8041,cf-als
4.7925,cf-als
4.8209,cf-als
4.7266,cf-als
4.7852,cf-als
4.7857,cf-als
4.8164,cf-als
4.7834,cf-als
4.7453,cf-als
4.8133,cf-als
4.8521,cf-als
4.7604,cf-als
4.7782,cf-als
4.839,cf-als
4.8195,cf-als
4.8208,cf-als
4.7561,cf-als
4.8291,cf-als
4.8072,cf-als
4.79,cf-als
4.8278,cf-als
4.8213,cf-als
4.8036,cf-als
4.7975,cf-als
4.7826,cf-als
4.8173,cf-als
4.764,cf-als
4.8027,cf-als
4.8023,cf-als
4.8395,cf-als
4.7806,cf-als
4.7977,cf-als
4.7954,cf-als
4.8191,cf-als
4.8108,cf-als
4.7571,cf-als
4.8005,cf-als
4.8045,cf-als
4.8285,cf-als
4.7894,cf-als
