length,approach
3.685,cf*-als
3.7887,cf*-als
3.8249,cf*-als
3.7349,cf*-als
3.74,cf*-als
3.8119,cf*-als
3.7696,cf*-als
3.7686,cf*-als
3.7854,cf*-als
3.7723,cf*-als
3.7116,cf*-als
3.7866,cf*-als
3.7041,cf*-als
3.7954,cf*-als
3.7531,cf*-als
3.8078,cf*-als
3.8306,cf*-als
3.8442,cf*-als
3.8092,cf*-als
3.7774,cf*-als
3.7123,cf*-als
3.7761,cf*-als
3.7914,cf*-als
3.7891,cf*-als
3.7857,cf*-als
3.7,cf*-als
3.7893,cf*-als
3.8087,cf*-als
3.7559,cf*-als
3.8119,cf*-als
3.7512,cf*-als
3.8334,cf*-als
3.7367,cf*-als
3.8134,cf*-als
3.8168,cf*-als
3.7597,cf*-als
3.8341,cf*-als
3.7438,cf*-als
3.768,cf*-als
3.7774,cf*-als
3.7532,cf*-als
3.7996,cf*-als
3.7911,cf*-als
3.7738,cf*-als
3.7561,cf*-als
3.7811,cf*-als
3.8719,cf*-als
3.8115,cf*-als
3.7547,cf*-als
3.8004,cf*-als
3.8094,cf*-als
3.8311,cf*-als
3.8945,cf*-als
3.7696,cf*-als
3.8057,cf*-als
3.776,cf*-als
3.7498,cf*-als
3.7894,cf*-als
3.82,cf*-als
3.778,cf*-als
3.7712,cf*-als
3.8257,cf*-als
3.873,cf*-als
3.7992,cf*-als
3.7614,cf*-als
3.761,cf*-als
3.7996,cf*-als
3.8579,cf*-als
3.7148,cf*-als
3.7903,cf*-als
3.823,cf*-als
3.8025,cf*-als
3.7863,cf*-als
3.7383,cf*-als
3.8056,cf*-als
3.752,cf*-als
3.8361,cf*-als
3.7266,cf*-als
3.7858,cf*-als
3.734,cf*-als
3.7769,cf*-als
3.8119,cf*-als
3.714,cf*-als
3.842,cf*-als
3.7452,cf*-als
3.7934,cf*-als
3.7915,cf*-als
3.8707,cf*-als
3.8044,cf*-als
3.7759,cf*-als
3.8602,cf*-als
3.766,cf*-als
3.7521,cf*-als
3.8028,cf*-als
3.7942,cf*-als
3.7787,cf*-als
3.7892,cf*-als
3.7976,cf*-als
3.7786,cf*-als
3.8486,cf*-als
3.752,cf-als
3.7446,cf-als
3.7832,cf-als
3.71,cf-als
3.7971,cf-als
3.8258,cf-als
3.7269,cf-als
3.7576,cf-als
3.8161,cf-als
3.7578,cf-als
3.7643,cf-als
3.7865,cf-als
3.7167,cf-als
3.729,cf-als
3.7082,cf-als
3.8088,cf-als
3.7934,cf-als
3.7947,cf-als
3.7928,cf-als
3.7744,cf-als
3.7337,cf-als
3.7682,cf-als
3.8113,cf-als
3.8098,cf-als
3.7784,cf-als
3.6759,cf-als
3.7943,cf-als
3.8265,cf-als
3.7435,cf-als
3.7924,cf-als
3.8037,cf-als
3.7491,cf-als
3.7816,cf-als
3.8004,cf-als
3.8493,cf-als
3.7011,cf-als
3.8177,cf-als
3.762,cf-als
3.7837,cf-als
3.763,cf-als
3.7839,cf-als
3.793,cf-als
3.7835,cf-als
3.7557,cf-als
3.6916,cf-als
3.775,cf-als
3.7561,cf-als
3.79,cf-als
3.7761,cf-als
3.7453,cf-als
3.8374,cf-als
3.8514,cf-als
3.8425,cf-als
3.7513,cf-als
3.825,cf-als
3.7334,cf-als
3.7766,cf-als
3.766,cf-als
3.8398,cf-als
3.8023,cf-als
3.7399,cf-als
3.8884,cf-als
3.8917,cf-als
3.7812,cf-als
3.7532,cf-als
3.7168,cf-als
3.7407,cf-als
3.8192,cf-als
3.7388,cf-als
3.7188,cf-als
3.8364,cf-als
3.8322,cf-als
3.7816,cf-als
3.7557,cf-als
3.8025,cf-als
3.796,cf-als
3.7998,cf-als
3.7858,cf-als
3.7903,cf-als
3.753,cf-als
3.7669,cf-als
3.7992,cf-als
3.7643,cf-als
3.8651,cf-als
3.7712,cf-als
3.8185,cf-als
3.8017,cf-als
3.8383,cf-als
3.824,cf-als
3.7795,cf-als
3.8392,cf-als
3.7469,cf-als
3.755,cf-als
3.8001,cf-als
3.7883,cf-als
3.7737,cf-als
3.7966,cf-als
3.7812,cf-als
3.8592,cf-als
3.83,cf-als
