coverage,approach
0.8996697688381867,cf-cvx
0.8967420759981533,cf-cvx
0.9008461661854347,cf-cvx
0.9014722310884137,cf-cvx
0.8999120457362172,cf-cvx
0.9056550557044141,cf-cvx
0.9010466602748481,cf-cvx
0.9027903879910417,cf-cvx
0.8988943121824883,cf-cvx
0.9009736689525562,cf-cvx
0.8970561712190136,cf-cvx
0.9022871104702396,cf-cvx
0.8984342442102756,cf-cvx
0.9032471702657141,cf-cvx
0.8959979251456388,cf-cvx
0.8981144097325926,cf-cvx
0.9002514837541494,cf-cvx
0.9041552684650865,cf-cvx
0.8995527692369125,cf-cvx
0.8980646448523544,cf-cvx
0.9001937790918353,cf-cvx
0.9017711766808307,cf-cvx
0.901595052734805,cf-cvx
0.8994342547665546,cf-cvx
0.8968127806700313,cf-cvx
0.896883841322712,cf-cvx
0.9009447236180904,cf-cvx
0.9010374939913476,cf-cvx
0.9022714220646771,cf-cvx
0.9005134788189987,cf-cvx
0.8976650675796723,cf-cvx
0.8986840783525867,cf-cvx
0.8990725806451613,cf-cvx
0.900663303809032,cf-cvx
0.8987425149700599,cf-cvx
0.8976810090205157,cf-cvx
0.9004855823991368,cf-cvx
0.9049050058488968,cf-cvx
0.9039864460833167,cf-cvx
0.8980354537642145,cf-cvx
0.901449740974258,cf-cvx
0.8980443025344242,cf-cvx
0.9046819063618727,cf-cvx
0.8998862116463379,cf-cvx
0.9003443951187466,cf-cvx
0.9000279977601792,cf-cvx
0.9005809294871795,cf-cvx
0.8999701224977592,cf-cvx
0.8983709700042078,cf-cvx
0.8995194408038445,cf-cvx
0.9003099070278916,cf-cvx
0.9002698650674663,cf-cvx
0.8978764208801966,cf-cvx
0.9009412281928818,cf-cvx
0.8990501172449425,cf-cvx
0.8972872105622216,cf-cvx
0.8965462104253278,cf-cvx
0.8987230295024219,cf-cvx
0.8998605855407289,cf-cvx
0.9011326473638032,cf-cvx
0.9000382455363434,cf-cvx
0.9016906951528051,cf-cvx
0.9004626384410487,cf-cvx
0.9012863478557525,cf-cvx
0.902334311787376,cf-cvx
0.8968128367956089,cf-cvx
0.9025734557261395,cf-cvx
0.9011730322683962,cf-cvx
0.9009137177894442,cf-cvx
0.9014084507042254,cf-cvx
0.9022099668305159,cf-cvx
0.8987306513867335,cf-cvx
0.9005228288633461,cf-cvx
0.8998414323277333,cf-cvx
0.8989290628801627,cf-cvx
0.9036434808792533,cf-cvx
0.900476325031284,cf-cvx
0.8961026068656065,cf-cvx
0.9021258640090017,cf-cvx
0.9020878329733621,cf-cvx
0.8970379691213773,cf-cvx
0.9023936648869159,cf-cvx
0.90003763941441,cf-cvx
0.8976852596045651,cf-cvx
0.901035511847297,cf-cvx
0.8980006028333166,cf-cvx
0.9018791650823511,cf-cvx
0.9003923146564732,cf-cvx
