coverage,approach
0.8917631856035225,cf*-als
0.9021817367520274,cf*-als
0.8991451632141864,cf*-als
0.9007442369959888,cf*-als
0.897293606751296,cf*-als
0.9028939111599535,cf*-als
0.9055509795371223,cf*-als
0.899431222395221,cf*-als
0.90232,cf*-als
0.9004494796131751,cf*-als
0.9026517991759991,cf*-als
0.9012408306560057,cf*-als
0.8983111691278454,cf*-als
0.9009283469666802,cf*-als
0.898897672864937,cf*-als
0.9019176714105073,cf*-als
0.9018751297736747,cf*-als
0.9023238633626158,cf*-als
0.9006271447166015,cf*-als
0.898979924987458,cf*-als
0.9038178197302592,cf*-als
0.8987964901625457,cf*-als
0.8997492122693075,cf*-als
0.9022158878281433,cf*-als
0.9062480137291045,cf*-als
0.902851824978706,cf*-als
0.9054440111062962,cf*-als
0.9019340974212035,cf*-als
0.8970171690798323,cf*-als
0.9044908841278457,cf*-als
0.9021578575557125,cf*-als
0.9028625171823378,cf*-als
0.9007472268076588,cf*-als
0.9006464383055933,cf*-als
0.8948521794565304,cf*-als
0.9020176411984351,cf*-als
0.9026321695360842,cf*-als
0.900780441635318,cf*-als
0.8972340579186827,cf*-als
0.9002466012266009,cf*-als
0.9021801100092344,cf*-als
0.9001192581980006,cf*-als
0.8978946280827524,cf*-als
0.9056618922217227,cf*-als
0.8986220709959217,cf*-als
0.9010560754408333,cf*-als
0.9014188613757974,cf*-als
0.8997244335578689,cf*-als
0.9014797446093886,cf*-als
0.9006395669149879,cf*-als
0.9016484266478244,cf*-als
0.8992445544633774,cf*-als
0.8971873446545117,cf*-als
0.8991974930605817,cf*-als
0.9008121762486411,cf*-als
0.8978519047310014,cf*-als
0.9023620909681924,cf*-als
0.9002035517374022,cf*-als
0.899646351713529,cf*-als
0.903506580378946,cf*-als
0.9041806700886905,cf*-als
0.9036384263845835,cf*-als
0.8997733729132752,cf*-als
0.898280219736412,cf*-als
0.9045325891967311,cf*-als
0.9042904816139283,cf*-als
0.8992864067640375,cf*-als
0.9031084893972456,cf*-als
0.899379371966288,cf*-als
0.9039768296758383,cf*-als
0.9004475081748576,cf*-als
0.9008187003332478,cf*-als
0.8959293086566398,cf*-als
0.8956405192992474,cf*-als
0.9011111022357837,cf*-als
0.9047913819438862,cf*-als
0.8975487115021998,cf*-als
0.9000859749398972,cf*-als
0.8993830427604295,cf*-als
0.9048370475331702,cf*-als
0.8976388798859143,cf*-als
0.8979152656355077,cf*-als
0.8975865202212622,cf*-als
0.8991841584158415,cf*-als
0.8970872713204001,cf*-als
0.9009563883691611,cf*-als
0.9005072211863603,cf*-als
0.9013488706201612,cf*-als
0.9042077988141224,cf*-als
0.9013380672709215,cf*-als
0.9004202256797412,cf*-als
0.9037639894142779,cf*-als
0.9012614110537339,cf*-als
0.8975648894772736,cf*-als
0.899819400409359,cf*-als
0.8966081308636036,cf*-als
0.902418568986725,cf*-als
0.9014713588906357,cf*-als
0.8980102085646503,cf*-als
0.8988433059835902,cf*-als
0.8860597938802208,cf-als
0.8856507621683009,cf-als
0.8852133115979484,cf-als
0.8801730109380286,cf-als
0.8824715586570446,cf-als
0.8807794607163903,cf-als
0.884514753621784,cf-als
0.8812716469130311,cf-als
0.886008,cf-als
0.8819575197698921,cf-als
0.8830999201799579,cf-als
0.885418428066446,cf-als
0.8804764624296321,cf-als
0.8865753512286004,cf-als
0.8836830133456345,cf-als
0.8834819307189858,cf-als
0.8848568097238416,cf-als
0.8892591581415517,cf-als
0.8798248727961188,cf-als
0.8784430517841358,cf-als
0.886704013729903,cf-als
0.8829814438921476,cf-als
0.8802488585943026,cf-als
0.8838470296911453,cf-als
0.8847724528062035,cf-als
0.883221868197735,cf-als
0.8858795961930441,cf-als
0.887010506208214,cf-als
0.8846506843895878,cf-als
