length,approach
3.9416,cf-als
3.9345,cf-als
3.9928,cf-als
3.9564,cf-als
3.9221,cf-als
3.9836,cf-als
3.9307,cf-als
3.9389,cf-als
3.9486,cf-als
3.9644,cf-als
3.9688,cf-als
3.944,cf-als
3.955,cf-als
3.9502,cf-als
3.9783,cf-als
3.9712,cf-als
3.9414,cf-als
3.9414,cf-als
3.9447,cf-als
3.9758,cf-als
3.9478,cf-als
3.9743,cf-als
3.9569,cf-als
3.9304,cf-als
3.9712,cf-als
3.9703,cf-als
3.9723,cf-als
3.9566,cf-als
3.9368,cf-als
3.9634,cf-als
3.9024,cf-als
3.9923,cf-als
3.9511,cf-als
3.9451,cf-als
3.9747,cf-als
3.9718,cf-als
3.9802,cf-als
3.9289,cf-als
3.9465,cf-als
3.911,cf-als
3.9517,cf-als
3.9375,cf-als
3.9435,cf-als
3.9491,cf-als
3.9634,cf-als
3.9709,cf-als
3.9712,cf-als
3.982,cf-als
3.9304,cf-als
3.95,cf-als
3.9614,cf-als
3.9288,cf-als
3.9205,cf-als
3.949,cf-als
3.9318,cf-als
3.9901,cf-als
3.9455,cf-als
3.965,cf-als
3.9857,cf-als
3.9625,cf-als
3.9284,cf-als
3.9901,cf-als
3.9288,cf-als
3.95,cf-als
3.9482,cf-als
3.9358,cf-als
3.9565,cf-als
3.9443,cf-als
3.9367,cf-als
3.9519,cf-als
3.954,cf-als
3.9359,cf-als
3.9939,cf-als
3.9617,cf-als
3.976,cf-als
3.9357,cf-als
3.948,cf-als
3.963,cf-als
3.9499,cf-als
3.9669,cf-als
3.9323,cf-als
3.9339,cf-als
3.9873,cf-als
3.9348,cf-als
3.9389,cf-als
3.9216,cf-als
3.937,cf-als
3.9364,cf-als
3.9404,cf-als
3.9596,cf-als
3.9464,cf-als
3.924,cf-als
3.9424,cf-als
3.9997,cf-als
3.946,cf-als
3.9457,cf-als
3.9566,cf-als
3.9594,cf-als
3.9832,cf-als
3.9098,cf-als
3.0822,als
3.0818,als
3.0874,als
3.0942,als
3.0697,als
3.0963,als
3.0836,als
3.0847,als
3.0904,als
3.0898,als
3.0904,als
3.077,als
3.0816,als
3.0758,als
3.0846,als
3.0821,als
3.0799,als
3.0821,als
3.0792,als
3.0803,als
3.0823,als
3.0849,als
3.089,als
3.0835,als
3.0907,als
3.084,als
3.0891,als
3.0779,als
3.0859,als
3.0913,als
3.0802,als
3.0833,als
3.0785,als
3.0733,als
3.0886,als
3.0868,als
3.0898,als
3.0816,als
3.0786,als
3.0778,als
3.0918,als
3.0706,als
3.0827,als
3.0794,als
3.079,als
3.0791,als
3.0727,als
3.0888,als
3.084,als
3.0817,als
3.0798,als
3.0786,als
3.0757,als
3.0857,als
3.0772,als
3.0844,als
3.0789,als
3.0864,als
3.0927,als
3.0875,als
3.0855,als
3.0849,als
3.0784,als
3.0719,als
3.0791,als
3.0759,als
3.075,als
3.0799,als
3.0859,als
3.0777,als
3.0863,als
3.0876,als
3.0841,als
3.078,als
3.0897,als
3.0851,als
3.0751,als
3.0743,als
3.0786,als
3.079,als
3.0828,als
3.0764,als
3.0845,als
3.081,als
3.081,als
3.0791,als
3.082,als
3.0873,als
3.0708,als
3.0712,als
3.076,als
3.0801,als
3.0758,als
3.0837,als
3.0854,als
3.0813,als
3.0828,als
3.0842,als
3.0917,als
3.0804,als
