length,approach
7.0732,cf*-cvx
7.1256,cf*-cvx
7.0254,cf*-cvx
6.9987,cf*-cvx
7.0621,cf*-cvx
7.0211,cf*-cvx
6.9608,cf*-cvx
7.0796,cf*-cvx
7.1592,cf*-cvx
7.0242,cf*-cvx
6.9278,cf*-cvx
7.005,cf*-cvx
7.0036,cf*-cvx
7.0472,cf*-cvx
6.9555,cf*-cvx
7.0269,cf*-cvx
6.9811,cf*-cvx
7.0627,cf*-cvx
6.9619,cf*-cvx
6.9995,cf*-cvx
7.0023,cf*-cvx
7.051,cf*-cvx
7.0737,cf*-cvx
7.0906,cf*-cvx
6.974,cf*-cvx
6.9864,cf*-cvx
7.0393,cf*-cvx
7.0758,cf*-cvx
7.0454,cf*-cvx
7.0583,cf*-cvx
7.0114,cf*-cvx
7.0038,cf*-cvx
7.0187,cf*-cvx
6.9987,cf*-cvx
7.0089,cf*-cvx
7.0922,cf*-cvx
7.0528,cf*-cvx
7.0465,cf*-cvx
7.0447,cf*-cvx
7.0672,cf*-cvx
7.0541,cf*-cvx
6.9584,cf*-cvx
6.9745,cf*-cvx
7.0334,cf*-cvx
6.9456,cf*-cvx
6.9908,cf*-cvx
7.0902,cf*-cvx
7.013,cf*-cvx
7.0112,cf*-cvx
7.0048,cf*-cvx
7.061,cf*-cvx
6.9741,cf*-cvx
7.0522,cf*-cvx
6.9957,cf*-cvx
7.0143,cf*-cvx
6.9507,cf*-cvx
7.1152,cf*-cvx
6.9508,cf*-cvx
6.9128,cf*-cvx
6.9591,cf*-cvx
6.9198,cf*-cvx
6.9444,cf*-cvx
6.9288,cf*-cvx
6.9967,cf*-cvx
7.0314,cf*-cvx
6.927,cf*-cvx
7.041,cf*-cvx
7.0744,cf*-cvx
6.9847,cf*-cvx
6.9833,cf*-cvx
7.1314,cf*-cvx
7.0751,cf*-cvx
6.9807,cf*-cvx
7.0703,cf*-cvx
7.0507,cf*-cvx
7.0773,cf*-cvx
6.9667,cf*-cvx
7.0736,cf*-cvx
6.9965,cf*-cvx
6.9338,cf*-cvx
7.0845,cf*-cvx
7.0147,cf*-cvx
7.0017,cf*-cvx
7.0379,cf*-cvx
7.014,cf*-cvx
6.9538,cf*-cvx
7.0361,cf*-cvx
6.936,cf*-cvx
7.073,cf*-cvx
7.0106,cf*-cvx
6.9878,cf*-cvx
7.0234,cf*-cvx
7.0301,cf*-cvx
7.1212,cf*-cvx
7.0177,cf*-cvx
7.0831,cf*-cvx
7.0202,cf*-cvx
7.0773,cf*-cvx
7.0187,cf*-cvx
7.0223,cf*-cvx
7.0994,cf*-als
7.187,cf*-als
7.0558,cf*-als
7.1522,cf*-als
7.0556,cf*-als
7.2348,cf*-als
7.0972,cf*-als
7.2117,cf*-als
7.1429,cf*-als
7.1315,cf*-als
7.1019,cf*-als
7.1519,cf*-als
7.0444,cf*-als
7.1617,cf*-als
7.1428,cf*-als
7.0891,cf*-als
7.0702,cf*-als
7.1342,cf*-als
7.0495,cf*-als
7.1051,cf*-als
7.1939,cf*-als
7.1223,cf*-als
7.1928,cf*-als
7.1678,cf*-als
7.113,cf*-als
