length,approach
8.1882,cf*-als
8.3366,cf*-als
8.3844,cf*-als
8.2352,cf*-als
8.2783,cf*-als
8.3027,cf*-als
8.3565,cf*-als
8.1794,cf*-als
8.3716,cf*-als
8.2688,cf*-als
8.2958,cf*-als
8.3988,cf*-als
8.2131,cf*-als
8.3407,cf*-als
8.3651,cf*-als
8.2736,cf*-als
8.2799,cf*-als
8.3325,cf*-als
8.3315,cf*-als
8.3784,cf*-als
8.2411,cf*-als
8.2942,cf*-als
8.2977,cf*-als
8.3479,cf*-als
8.3043,cf*-als
8.2685,cf*-als
8.3603,cf*-als
8.2626,cf*-als
8.211,cf*-als
8.1876,cf*-als
8.2362,cf*-als
8.3525,cf*-als
8.3843,cf*-als
8.2789,cf*-als
8.3287,cf*-als
8.2278,cf*-als
8.1032,cf*-als
8.2964,cf*-als
8.2721,cf*-als
8.1779,cf*-als
8.2225,cf*-als
8.3353,cf*-als
8.2504,cf*-als
8.1424,cf*-als
8.2039,cf*-als
8.2708,cf*-als
8.1793,cf*-als
8.2718,cf*-als
8.2939,cf*-als
8.3226,cf*-als
8.2346,cf*-als
8.4483,cf*-als
8.3614,cf*-als
8.2682,cf*-als
8.2957,cf*-als
8.3589,cf*-als
8.2934,cf*-als
8.2367,cf*-als
8.2865,cf*-als
8.3078,cf*-als
8.3397,cf*-als
8.407,cf*-als
8.3189,cf*-als
8.3335,cf*-als
8.217,cf*-als
8.3029,cf*-als
8.341,cf*-als
8.4248,cf*-als
8.2602,cf*-als
8.2333,cf*-als
8.3818,cf*-als
8.1999,cf*-als
8.2313,cf*-als
8.4087,cf*-als
8.3169,cf*-als
8.2152,cf*-als
8.3839,cf*-als
8.3493,cf*-als
8.3552,cf*-als
8.3443,cf*-als
8.2582,cf*-als
8.263,cf*-als
8.3319,cf*-als
8.3299,cf*-als
8.2475,cf*-als
8.2708,cf*-als
8.337,cf*-als
8.2847,cf*-als
8.2921,cf*-als
8.3055,cf*-als
8.2427,cf*-als
8.2567,cf*-als
8.2931,cf*-als
8.2668,cf*-als
8.3386,cf*-als
8.3118,cf*-als
8.3393,cf*-als
8.2476,cf*-als
8.4187,cf*-als
8.3837,cf*-als
8.2224,cf-als
8.2319,cf-als
8.2441,cf-als
8.1569,cf-als
8.2736,cf-als
8.1913,cf-als
8.1872,cf-als
8.2081,cf-als
8.2724,cf-als
8.2711,cf-als
8.1103,cf-als
8.2335,cf-als
8.2586,cf-als
8.2966,cf-als
8.2266,cf-als
8.2882,cf-als
8.2226,cf-als
8.2016,cf-als
8.2534,cf-als
8.1537,cf-als
8.309,cf-als
8.2401,cf-als
8.2375,cf-als
8.2632,cf-als
8.2429,cf-als
8.236,cf-als
8.2844,cf-als
8.1638,cf-als
8.2197,cf-als
8.2115,cf-als
8.1342,cf-als
8.2553,cf-als
8.2148,cf-als
8.1814,cf-als
8.2281,cf-als
8.2685,cf-als
8.2151,cf-als
8.1513,cf-als
8.1906,cf-als
8.2559,cf-als
8.2394,cf-als
8.3254,cf-als
8.214,cf-als
8.228,cf-als
8.2417,cf-als
8.2177,cf-als
8.2118,cf-als
8.2823,cf-als
8.1872,cf-als
8.3033,cf-als
8.1784,cf-als
8.1968,cf-als
8.1676,cf-als
8.2145,cf-als
8.1388,cf-als
8.2462,cf-als
8.2045,cf-als
8.0845,cf-als
8.2913,cf-als
8.0868,cf-als
8.273,cf-als
8.2184,cf-als
8.1008,cf-als
8.2458,cf-als
8.1786,cf-als
8.2775,cf-als
8.2404,cf-als
8.2603,cf-als
8.1272,cf-als
8.2949,cf-als
8.2459,cf-als
8.1539,cf-als
8.1858,cf-als
8.2834,cf-als
8.1777,cf-als
8.1616,cf-als
8.1703,cf-als
8.3129,cf-als
8.2385,cf-als
8.2728,cf-als
8.251,cf-als
8.2569,cf-als
8.2461,cf-als
8.2919,cf-als
8.2046,cf-als
8.1778,cf-als
8.2606,cf-als
8.1709,cf-als
8.3254,cf-als
8.2177,cf-als
8.1863,cf-als
8.2179,cf-als
8.2882,cf-als
8.3468,cf-als
8.1885,cf-als
8.1755,cf-als
8.2229,cf-als
8.1144,cf-als
8.17,cf-als
8.1641,cf-als
