length,approach
6.2595,cf*-als
6.3577,cf*-als
6.1564,cf*-als
6.2515,cf*-als
6.2352,cf*-als
6.2487,cf*-als
6.1884,cf*-als
6.0916,cf*-als
6.0322,cf*-als
6.4125,cf*-als
6.2884,cf*-als
6.187,cf*-als
6.1582,cf*-als
6.1055,cf*-als
6.5022,cf*-als
6.1243,cf*-als
6.285,cf*-als
6.171,cf*-als
6.2793,cf*-als
6.3591,cf*-als
6.38,cf*-als
6.0474,cf*-als
6.3759,cf*-als
6.304,cf*-als
6.0997,cf*-als
6.0707,cf*-als
6.3727,cf*-als
6.2413,cf*-als
6.394,cf*-als
6.1398,cf*-als
5.9845,cf*-als
6.3216,cf*-als
6.5086,cf*-als
6.4854,cf*-als
6.1256,cf*-als
6.1873,cf*-als
6.3806,cf*-als
6.3842,cf*-als
6.0092,cf*-als
6.2677,cf*-als
6.3418,cf*-als
5.9132,cf*-als
6.3518,cf*-als
6.4574,cf*-als
6.336,cf*-als
6.1812,cf*-als
6.286,cf*-als
6.4992,cf*-als
6.2506,cf*-als
6.2697,cf*-als
6.0471,cf*-als
6.3842,cf*-als
6.1665,cf*-als
6.221,cf*-als
6.1766,cf*-als
6.2395,cf*-als
6.1123,cf*-als
6.4513,cf*-als
6.281,cf*-als
6.1478,cf*-als
6.3591,cf*-als
6.1373,cf*-als
6.3171,cf*-als
6.2795,cf*-als
6.0307,cf*-als
6.196,cf*-als
6.4451,cf*-als
6.22,cf*-als
6.2347,cf*-als
6.5832,cf*-als
6.3783,cf*-als
6.2009,cf*-als
6.3187,cf*-als
6.189,cf*-als
6.4257,cf*-als
6.3159,cf*-als
6.0812,cf*-als
6.3978,cf*-als
6.3433,cf*-als
6.2291,cf*-als
6.2229,cf*-als
6.3501,cf*-als
6.1658,cf*-als
6.299,cf*-als
6.2996,cf*-als
6.3542,cf*-als
6.2551,cf*-als
5.9978,cf*-als
6.0714,cf*-als
6.3058,cf*-als
6.4408,cf*-als
6.4573,cf*-als
6.2251,cf*-als
6.2439,cf*-als
6.3957,cf*-als
6.4268,cf*-als
6.3537,cf*-als
6.3324,cf*-als
6.3405,cf*-als
6.1998,cf*-als
5.8295,cf-als
5.915,cf-als
5.9588,cf-als
5.8238,cf-als
5.9063,cf-als
5.8334,cf-als
5.9832,cf-als
5.8899,cf-als
5.7231,cf-als
5.9798,cf-als
5.925,cf-als
5.8124,cf-als
5.8941,cf-als
5.9266,cf-als
6.0454,cf-als
5.8271,cf-als
5.9052,cf-als
5.848,cf-als
5.9398,cf-als
5.9697,cf-als
5.8856,cf-als
5.7,cf-als
5.9174,cf-als
5.8699,cf-als
5.7941,cf-als
5.8429,cf-als
5.9697,cf-als
5.829,cf-als
5.8898,cf-als
5.9067,cf-als
5.7259,cf-als
5.9879,cf-als
5.9067,cf-als
5.7925,cf-als
5.7506,cf-als
5.9586,cf-als
5.9747,cf-als
5.9601,cf-als
5.7727,cf-als
5.76,cf-als
6.0881,cf-als
5.5467,cf-als
5.9975,cf-als
5.958,cf-als
5.924,cf-als
5.9164,cf-als
5.8955,cf-als
6.0319,cf-als
5.9122,cf-als
5.8831,cf-als
5.8343,cf-als
5.7951,cf-als
5.9266,cf-als
5.8625,cf-als
5.8985,cf-als
5.9042,cf-als
5.7692,cf-als
5.9562,cf-als
5.8671,cf-als
5.8742,cf-als
5.8719,cf-als
5.7316,cf-als
5.9343,cf-als
5.8954,cf-als
5.7864,cf-als
5.8504,cf-als
5.797,cf-als
5.6617,cf-als
5.8798,cf-als
6.0693,cf-als
5.9119,cf-als
5.8267,cf-als
5.927,cf-als
5.9974,cf-als
6.0001,cf-als
5.7765,cf-als
5.7345,cf-als
5.8054,cf-als
5.8806,cf-als
5.881,cf-als
5.9064,cf-als
5.9041,cf-als
5.8171,cf-als
5.9993,cf-als
5.8068,cf-als
6.0108,cf-als
5.9143,cf-als
5.7319,cf-als
5.7702,cf-als
5.9471,cf-als
6.0028,cf-als
5.9702,cf-als
5.8666,cf-als
5.819,cf-als
5.853,cf-als
5.9404,cf-als
5.9304,cf-als
5.7818,cf-als
5.9525,cf-als
5.7344,cf-als
