length,approach
3.5757,cf*-als
3.6184,cf*-als
3.5947,cf*-als
3.5591,cf*-als
3.6078,cf*-als
3.5701,cf*-als
3.5724,cf*-als
3.613,cf*-als
3.6107,cf*-als
3.5872,cf*-als
3.5921,cf*-als
3.6287,cf*-als
3.5649,cf*-als
3.6383,cf*-als
3.5815,cf*-als
3.6042,cf*-als
3.6431,cf*-als
3.6211,cf*-als
3.5537,cf*-als
3.5973,cf*-als
3.6482,cf*-als
3.6214,cf*-als
3.5533,cf*-als
3.592,cf*-als
3.6514,cf*-als
3.5674,cf*-als
3.6142,cf*-als
3.6446,cf*-als
3.5786,cf*-als
3.571,cf*-als
3.6003,cf*-als
3.662,cf*-als
3.5432,cf*-als
3.5934,cf*-als
3.5609,cf*-als
3.639,cf*-als
3.6633,cf*-als
3.6186,cf*-als
3.6185,cf*-als
3.6293,cf*-als
3.5758,cf*-als
3.6729,cf*-als
3.6589,cf*-als
3.5444,cf*-als
3.5446,cf*-als
3.6207,cf*-als
3.6431,cf*-als
3.6056,cf*-als
3.5913,cf*-als
3.6361,cf*-als
3.5354,cf*-als
3.6263,cf*-als
3.6156,cf*-als
3.6052,cf*-als
3.5471,cf*-als
3.6936,cf*-als
3.6232,cf*-als
3.6232,cf*-als
3.6055,cf*-als
3.5699,cf*-als
3.591,cf*-als
3.5712,cf*-als
3.5909,cf*-als
3.6123,cf*-als
3.5635,cf*-als
3.5773,cf*-als
3.6765,cf*-als
3.5857,cf*-als
3.4754,cf*-als
3.522,cf*-als
3.5698,cf*-als
3.5806,cf*-als
3.5449,cf*-als
3.5933,cf*-als
3.5799,cf*-als
3.552,cf*-als
3.5966,cf*-als
3.6321,cf*-als
3.6095,cf*-als
3.5793,cf*-als
3.6385,cf*-als
3.6029,cf*-als
3.5733,cf*-als
3.5867,cf*-als
3.5978,cf*-als
3.6167,cf*-als
3.6268,cf*-als
3.5919,cf*-als
3.6552,cf*-als
3.592,cf*-als
3.5626,cf*-als
3.61,cf*-als
3.5955,cf*-als
3.5959,cf*-als
3.5826,cf*-als
3.6657,cf*-als
3.6169,cf*-als
3.6319,cf*-als
3.6687,cf*-als
3.6122,cf*-als
3.6004,cf-als
3.6034,cf-als
3.5986,cf-als
3.5485,cf-als
3.5759,cf-als
3.5782,cf-als
3.5768,cf-als
3.6077,cf-als
3.6293,cf-als
3.5796,cf-als
3.5548,cf-als
3.6436,cf-als
3.5504,cf-als
3.6098,cf-als
3.6018,cf-als
3.5966,cf-als
3.611,cf-als
3.6276,cf-als
3.5559,cf-als
3.5758,cf-als
3.6606,cf-als
3.5983,cf-als
3.5614,cf-als
3.5792,cf-als
3.637,cf-als
3.5913,cf-als
3.5959,cf-als
3.5525,cf-als
3.5797,cf-als
3.5502,cf-als
3.5859,cf-als
3.6316,cf-als
3.5006,cf-als
3.6239,cf-als
3.5998,cf-als
3.6111,cf-als
3.6644,cf-als
3.624,cf-als
3.6093,cf-als
3.6267,cf-als
3.5935,cf-als
3.6471,cf-als
3.6192,cf-als
3.5431,cf-als
3.5331,cf-als
3.6376,cf-als
3.6084,cf-als
3.6147,cf-als
3.5717,cf-als
3.6266,cf-als
3.5779,cf-als
3.6609,cf-als
3.569,cf-als
3.5228,cf-als
3.5974,cf-als
3.6739,cf-als
3.5983,cf-als
3.6269,cf-als
3.6054,cf-als
3.6021,cf-als
3.5773,cf-als
3.6317,cf-als
3.58,cf-als
3.5869,cf-als
3.569,cf-als
3.5684,cf-als
3.6671,cf-als
3.5922,cf-als
3.5403,cf-als
3.568,cf-als
3.594,cf-als
3.6261,cf-als
3.5897,cf-als
3.626,cf-als
3.5977,cf-als
3.5501,cf-als
3.6006,cf-als
3.5989,cf-als
3.5879,cf-als
3.5881,cf-als
3.6311,cf-als
3.5616,cf-als
3.5409,cf-als
3.6264,cf-als
3.5843,cf-als
3.6279,cf-als
3.6462,cf-als
3.5411,cf-als
3.5391,cf-als
3.5858,cf-als
3.5445,cf-als
3.5971,cf-als
3.5925,cf-als
3.5561,cf-als
3.5526,cf-als
3.6571,cf-als
3.5925,cf-als
3.605,cf-als
3.6368,cf-als
3.6056,cf-als
