length,approach
3.775,cf-als
3.811,cf-als
3.8006,cf-als
3.8208,cf-als
3.7982,cf-als
3.7769,cf-als
3.7868,cf-als
3.7983,cf-als
3.7732,cf-als
3.8044,cf-als
3.8303,cf-als
3.789,cf-als
3.8152,cf-als
3.7887,cf-als
3.8236,cf-als
3.7872,cf-als
3.8086,cf-als
3.8108,cf-als
3.8263,cf-als
3.7873,cf-als
3.8067,cf-als
3.7851,cf-als
3.7725,cf-als
3.7957,cf-als
3.8178,cf-als
3.8018,cf-als
3.7965,cf-als
3.8174,cf-als
3.7822,cf-als
3.7878,cf-als
3.7907,cf-als
3.8012,cf-als
3.8045,cf-als
3.8071,cf-als
3.7722,cf-als
3.8153,cf-als
3.7782,cf-als
3.8072,cf-als
3.749,cf-als
3.8007,cf-als
3.7761,cf-als
3.8057,cf-als
3.8025,cf-als
3.7667,cf-als
3.7793,cf-als
3.8175,cf-als
3.789,cf-als
3.8084,cf-als
3.7896,cf-als
3.8165,cf-als
3.7743,cf-als
3.7713,cf-als
3.7897,cf-als
3.7946,cf-als
3.8193,cf-als
3.7873,cf-als
3.7703,cf-als
3.8039,cf-als
3.7794,cf-als
3.7719,cf-als
3.7555,cf-als
3.8231,cf-als
3.7906,cf-als
3.8048,cf-als
3.8151,cf-als
3.7904,cf-als
3.8117,cf-als
3.805,cf-als
3.7983,cf-als
3.7775,cf-als
3.7835,cf-als
3.8034,cf-als
3.8132,cf-als
3.772,cf-als
3.7944,cf-als
3.7866,cf-als
3.8126,cf-als
3.7931,cf-als
3.8289,cf-als
3.8022,cf-als
3.8085,cf-als
3.7916,cf-als
3.8064,cf-als
3.7851,cf-als
3.759,cf-als
3.7946,cf-als
3.7831,cf-als
3.8059,cf-als
3.8215,cf-als
3.7881,cf-als
3.8095,cf-als
3.7555,cf-als
3.8035,cf-als
3.7934,cf-als
3.8141,cf-als
3.8124,cf-als
3.8035,cf-als
3.7842,cf-als
3.7847,cf-als
3.8255,cf-als
3.1379,als
3.1387,als
3.1377,als
3.1355,als
3.1318,als
3.1331,als
3.1382,als
3.1311,als
3.13,als
3.1307,als
3.1409,als
3.1346,als
3.1367,als
3.1343,als
3.1425,als
3.1309,als
3.134,als
3.1385,als
3.1339,als
3.1435,als
3.1353,als
3.1347,als
3.1259,als
3.1358,als
3.136,als
3.1334,als
3.1356,als
3.1345,als
3.1348,als
3.1361,als
3.1392,als
3.1245,als
3.1393,als
3.1293,als
3.1271,als
3.1401,als
3.1298,als
3.1352,als
3.1261,als
3.1293,als
3.1379,als
3.1335,als
3.1354,als
3.1309,als
3.1273,als
3.1379,als
3.1357,als
3.1425,als
3.1332,als
3.1422,als
3.137,als
3.1413,als
3.1306,als
3.1351,als
3.1354,als
3.1364,als
3.128,als
3.1338,als
3.1401,als
3.133,als
3.1307,als
3.1285,als
3.131,als
3.137,als
3.1423,als
3.137,als
3.1255,als
3.1427,als
3.1393,als
3.1317,als
3.1454,als
3.1405,als
3.1331,als
3.1336,als
3.1321,als
3.1295,als
3.1326,als
3.1353,als
3.1364,als
3.1332,als
3.1386,als
3.1299,als
3.1296,als
3.1276,als
3.1392,als
3.1359,als
3.1314,als
3.1352,als
3.1307,als
3.1396,als
3.1348,als
3.1292,als
3.1388,als
3.1289,als
3.1346,als
3.1354,als
3.131,als
3.1375,als
3.1323,als
3.1336,als
