coverage,approach
0.899111477512137,cf-cvx
0.8986735792695387,cf-cvx
0.8999042586489422,cf-cvx
0.9009362772175625,cf-cvx
0.8992386511144048,cf-cvx
0.8984903384422723,cf-cvx
0.8996839093719717,cf-cvx
0.9004980842031227,cf-cvx
0.900164855251571,cf-cvx
0.900298763056498,cf-cvx
0.900516448434451,cf-cvx
0.9005079106684233,cf-cvx
0.8997681490102631,cf-cvx
0.9012319324606284,cf-cvx
0.9006588310913182,cf-cvx
0.9003052962667024,cf-cvx
0.8990172425292723,cf-cvx
0.8990105421237178,cf-cvx
0.9004322456145176,cf-cvx
0.9009011080478905,cf-cvx
0.8978576770036097,cf-cvx
0.900696084581888,cf-cvx
0.9006874669487044,cf-cvx
0.8991889559965488,cf-cvx
0.8995694947033337,cf-cvx
0.8996561016119806,cf-cvx
0.9002094970461146,cf-cvx
0.901737914181444,cf-cvx
0.8979066488470034,cf-cvx
0.898890409226276,cf-cvx
0.9004309987948593,cf-cvx
0.8996830595562834,cf-cvx
0.8979914703118955,cf-cvx
0.8990958474941143,cf-cvx
0.8990133408087204,cf-cvx
0.8997602328769974,cf-cvx
0.9003125007185907,cf-cvx
0.8986502065963256,cf-cvx
0.9003764329070468,cf-cvx
0.9008774989444311,cf-cvx
0.9000845839900533,cf-cvx
0.8994363724296955,cf-cvx
0.8997254775306819,cf-cvx
0.8989397922980862,cf-cvx
0.8998338443461178,cf-cvx
0.8988809845677662,cf-cvx
0.8978757194921556,cf-cvx
0.8991083106001782,cf-cvx
0.8985768728022534,cf-cvx
0.8994560033830292,cf-cvx
0.9004788971524536,cf-cvx
0.8987670284422558,cf-cvx
0.9005143192461253,cf-cvx
0.9001220415310329,cf-cvx
0.8999443394099977,cf-cvx
0.8992095179645605,cf-cvx
0.9000604440685523,cf-cvx
0.8988084558231546,cf-cvx
0.900480330001938,cf-cvx
0.8990638784286432,cf-cvx
0.8994531163613578,cf-cvx
0.9013143748598931,cf-cvx
0.8996737545452868,cf-cvx
0.8999919644599543,cf-cvx
0.9010412479355359,cf-cvx
0.8999210518395384,cf-cvx
0.9014998644008586,cf-cvx
0.9001102096274182,cf-cvx
0.9022020129535585,cf-cvx
0.9007098391659333,cf-cvx
0.9002650800183004,cf-cvx
0.9002174077738776,cf-cvx
0.8986628923870017,cf-cvx
0.9012435080209957,cf-cvx
0.8989412720338866,cf-cvx
0.9013489373396849,cf-cvx
0.8995359383821646,cf-cvx
0.899454080574943,cf-cvx
0.8993221561537679,cf-cvx
0.8993318730467139,cf-cvx
0.9018451667440394,cf-cvx
0.9016990905951422,cf-cvx
0.8984761655184462,cf-cvx
0.9004517073709802,cf-cvx
0.9010678276810266,cf-cvx
0.8991243352283147,cf-cvx
0.9009230598520978,cf-cvx
0.9006745206745207,cf-cvx
0.901708753047238,cf-cvx
0.9014542292722872,cf-cvx
0.9009253955876365,cf-cvx
0.8998364969294169,cf-cvx
0.9004600537305861,cf-cvx
0.9000449328986763,cf-cvx
0.899399055002523,cf-cvx
0.8999820962122012,cf-cvx
0.8991711784741301,cf-cvx
0.8993676778290887,cf-cvx
0.8994196043720986,cf-cvx
0.8987284130346288,cf-cvx
0.9014610240908675,cf-als
0.8988825186610429,cf-als
0.9016487765360043,cf-als
0.8994547820399333,cf-als
0.8996437218636937,cf-als
0.8994825069866161,cf-als
0.8981657514650916,cf-als
0.9015140196797274,cf-als
0.8986381622663113,cf-als
0.8987151807539508,cf-als
0.9021207252802314,cf-als
0.9004527279792329,cf-als
0.8998279518449175,cf-als
0.9013283385782852,cf-als
0.8988843487443184,cf-als
0.8991806420920877,cf-als
0.9001580047700422,cf-als
0.90187627298842,cf-als
0.9000242937620037,cf-als
0.9002963838412174,cf-als
0.8977953599158027,cf-als
0.9013303564838734,cf-als
0.899627526268595,cf-als
0.8999413287316652,cf-als
0.8990097687156937,cf-als
0.8998513678977632,cf-als
0.899623089288055,cf-als
0.8987774656815347,cf-als
0.9000215856744604,cf-als
0.899279053455829,cf-als
0.9013164552304027,cf-als
0.8983444576822408,cf-als
0.8993915919014019,cf-als
0.9010127057702702,cf-als
0.9005919036042702,cf-als
0.9006226546405458,cf-als
0.8996318516184961,cf-als
0.899856120416144,cf-als
0.9004270534691191,cf-als
0.8997484992565123,cf-als
