coverage,approach
0.8975360816521808,cf*-cvx
0.897445550740542,cf*-cvx
0.8999531623489889,cf*-cvx
0.9009033996354703,cf*-cvx
0.903905505194952,cf*-cvx
0.9009032072256578,cf*-cvx
0.9038889021679375,cf*-cvx
0.9048971477258896,cf*-cvx
0.8975398669765206,cf*-cvx
0.8980198414279453,cf*-cvx
0.9008237659726276,cf*-cvx
0.8986165929115337,cf*-cvx
0.8948008635689888,cf*-cvx
0.9004908987531332,cf*-cvx
0.8984695271932222,cf*-cvx
0.9015113795152664,cf*-cvx
0.8996519628973291,cf*-cvx
0.9017114953064256,cf*-cvx
0.9028323391047093,cf*-cvx
0.9008389810889991,cf*-cvx
0.9000661338772779,cf*-cvx
0.9006828752811957,cf*-cvx
0.900626021771203,cf*-cvx
0.9057301145702213,cf*-cvx
0.9014499700419413,cf*-cvx
0.8992266641101844,cf*-cvx
0.8990391862836107,cf*-cvx
0.9005740818244273,cf*-cvx
0.8964028090379125,cf*-cvx
0.9011390397462392,cf*-cvx
0.9044331453086518,cf*-cvx
0.9011598110871948,cf*-cvx
0.8974758591879689,cf*-cvx
0.8997014546147494,cf*-cvx
0.9020421930085205,cf*-cvx
0.8972953187290624,cf*-cvx
0.9008197314755971,cf*-cvx
0.902665258645147,cf*-cvx
0.9043068369525805,cf*-cvx
0.9027732228416935,cf*-cvx
0.899301499511288,cf*-cvx
0.9037460561508032,cf*-cvx
0.8993201631608414,cf*-cvx
0.8986437796040646,cf*-cvx
0.9002166402242106,cf*-cvx
0.8995181939890491,cf*-cvx
0.9045845864960774,cf*-cvx
0.8981843530656068,cf*-cvx
0.9023435639319795,cf*-cvx
0.8989401234368436,cf*-cvx
0.8994971680951965,cf*-cvx
0.9024646166908296,cf*-cvx
0.9008202954357921,cf*-cvx
0.8999630236969872,cf*-cvx
0.9032734530938124,cf*-cvx
0.9035008090934207,cf*-cvx
0.9035541932437515,cf*-cvx
0.8950439187023146,cf*-cvx
0.8989771051112678,cf*-cvx
0.8961800272283175,cf*-cvx
0.9029005689730633,cf*-cvx
0.897618952658238,cf*-cvx
0.8978445523829536,cf*-cvx
