length,approach
3.929,cf-cvx
3.9359,cf-cvx
3.8552,cf-cvx
3.8565,cf-cvx
3.8967,cf-cvx
3.9615,cf-cvx
3.8661,cf-cvx
3.9423,cf-cvx
3.9131,cf-cvx
3.8439,cf-cvx
3.9372,cf-cvx
3.9475,cf-cvx
3.9085,cf-cvx
3.9105,cf-cvx
3.9563,cf-cvx
3.9091,cf-cvx
3.9292,cf-cvx
3.8806,cf-cvx
3.9156,cf-cvx
3.9093,cf-cvx
3.9941,cf-cvx
3.9352,cf-cvx
3.9169,cf-cvx
3.8836,cf-cvx
3.9092,cf-cvx
3.9246,cf-cvx
3.8523,cf-cvx
3.8513,cf-cvx
3.9276,cf-cvx
3.9612,cf-cvx
3.8555,cf-cvx
3.915,cf-cvx
4.1586,cf-als
4.1477,cf-als
4.1854,cf-als
4.1727,cf-als
4.215,cf-als
4.1931,cf-als
4.2531,cf-als
4.2068,cf-als
4.197,cf-als
4.1579,cf-als
4.1876,cf-als
4.2094,cf-als
4.2012,cf-als
4.2107,cf-als
4.2069,cf-als
4.1796,cf-als
4.137,cf-als
4.238,cf-als
4.1658,cf-als
4.1905,cf-als
4.1828,cf-als
4.2124,cf-als
4.1545,cf-als
4.175,cf-als
4.1952,cf-als
4.1666,cf-als
4.2028,cf-als
4.1793,cf-als
4.2251,cf-als
4.2068,cf-als
4.1597,cf-als
4.1896,cf-als
4.2223,cf-als
4.2173,cf-als
4.2157,cf-als
4.1816,cf-als
4.1674,cf-als
4.1944,cf-als
4.2018,cf-als
4.217,cf-als
4.1682,cf-als
4.2135,cf-als
4.1763,cf-als
4.1627,cf-als
4.1837,cf-als
4.1734,cf-als
4.149,cf-als
4.1839,cf-als
4.2224,cf-als
4.1782,cf-als
4.1968,cf-als
4.1892,cf-als
4.1933,cf-als
4.1692,cf-als
4.1815,cf-als
4.2105,cf-als
4.1899,cf-als
4.1941,cf-als
4.1853,cf-als
4.2394,cf-als
4.1506,cf-als
4.139,cf-als
4.2225,cf-als
4.1497,cf-als
4.2273,cf-als
4.1943,cf-als
4.1712,cf-als
4.2382,cf-als
4.1983,cf-als
4.2181,cf-als
4.2048,cf-als
4.2348,cf-als
4.1886,cf-als
4.2014,cf-als
