length,approach
3.4794,cf*-cvx
3.4706,cf*-cvx
3.5211,cf*-cvx
3.4798,cf*-cvx
3.5302,cf*-cvx
3.5159,cf*-cvx
3.518,cf*-cvx
3.4813,cf*-cvx
3.4965,cf*-cvx
3.5106,cf*-cvx
3.481,cf*-cvx
3.4682,cf*-cvx
3.5174,cf*-cvx
3.5312,cf*-cvx
3.4961,cf*-cvx
3.4617,cf*-cvx
3.4957,cf*-cvx
3.5175,cf*-cvx
3.5091,cf*-cvx
3.4657,cf*-cvx
3.4905,cf*-cvx
3.4801,cf*-cvx
3.4908,cf*-cvx
3.462,cf*-cvx
3.4905,cf*-cvx
3.5374,cf*-cvx
3.4757,cf*-cvx
3.471,cf*-cvx
3.5052,cf*-cvx
3.5086,cf*-cvx
3.5374,cf*-cvx
3.5035,cf*-cvx
3.4766,cf*-cvx
3.4898,cf*-cvx
3.4918,cf*-cvx
3.4962,cf*-cvx
3.5067,cf*-cvx
3.4903,cf*-cvx
3.4868,cf*-cvx
3.4515,cf*-cvx
3.4811,cf*-cvx
3.4529,cf*-cvx
3.5219,cf*-cvx
3.4629,cf*-cvx
3.5123,cf*-cvx
3.4779,cf*-cvx
3.4674,cf*-cvx
3.5082,cf*-cvx
3.4857,cf*-cvx
3.4943,cf*-cvx
3.5071,cf*-cvx
3.5183,cf*-cvx
3.4897,cf*-cvx
3.4649,cf*-cvx
3.4446,cf*-cvx
3.4934,cf*-cvx
3.4677,cf*-cvx
3.5357,cf*-cvx
3.501,cf*-cvx
3.5031,cf*-cvx
3.4583,cf*-cvx
3.4979,cf*-cvx
3.4792,cf*-cvx
3.496,cf*-cvx
3.4688,cf*-cvx
3.452,cf*-cvx
3.5282,cf*-cvx
3.4584,cf*-cvx
3.4775,cf*-cvx
3.5064,cf*-cvx
3.4841,cf*-cvx
3.4659,cf*-cvx
3.5015,cf*-cvx
3.5067,cf*-cvx
3.4983,cf*-cvx
3.4632,cf*-cvx
3.5157,cf*-cvx
3.4751,cf*-cvx
3.5014,cf*-cvx
3.4694,cf*-cvx
3.4619,cf*-cvx
3.5073,cf*-cvx
3.5413,cf*-cvx
3.454,cf*-cvx
3.4381,cf*-cvx
3.4553,cf*-cvx
3.5114,cf*-cvx
3.4815,cf*-cvx
3.4974,cf*-cvx
3.5107,cf*-cvx
3.4934,cf*-cvx
3.5117,cf*-cvx
3.473,cf*-cvx
3.5075,cf*-cvx
3.5094,cf*-cvx
3.4876,cf*-cvx
3.4662,cf*-cvx
3.5212,cf*-cvx
3.4767,cf*-cvx
3.4717,cf*-cvx
3.4661,cf*-als
3.4512,cf*-als
3.4769,cf*-als
3.4508,cf*-als
3.4602,cf*-als
3.4539,cf*-als
3.4747,cf*-als
3.4173,cf*-als
3.4447,cf*-als
3.4635,cf*-als
3.4727,cf*-als
3.4573,cf*-als
3.4889,cf*-als
3.4841,cf*-als
3.4235,cf*-als
3.4349,cf*-als
3.4988,cf*-als
3.475,cf*-als
3.5055,cf*-als
3.4571,cf*-als
3.4886,cf*-als
3.4583,cf*-als
3.458,cf*-als
3.4381,cf*-als
3.4475,cf*-als
3.5056,cf*-als
3.4813,cf*-als
3.4908,cf*-als
3.4784,cf*-als
3.4437,cf*-als
3.4464,cf*-als
3.4723,cf*-als
3.4677,cf*-als
3.4617,cf*-als
3.4572,cf*-als
3.4508,cf*-als
3.4716,cf*-als
3.4762,cf*-als
3.4857,cf*-als
3.4489,cf*-als
3.4413,cf*-als
3.476,cf*-als
3.4717,cf*-als
3.4645,cf*-als
3.4849,cf*-als
3.449,cf*-als
3.4836,cf*-als
3.4536,cf*-als
3.4743,cf*-als
3.4507,cf*-als
3.4566,cf*-als
3.5212,cf*-als
3.4806,cf*-als
3.4584,cf*-als
3.4497,cf*-als
3.4507,cf*-als
3.4558,cf*-als
3.4653,cf*-als
3.4634,cf*-als
3.4375,cf*-als
3.4775,cf*-als
3.4255,cf*-als
3.428,cf*-als
3.458,cf*-als
3.4408,cf*-als
3.4596,cf*-als
3.5309,cf*-als
3.4136,cf*-als
3.4608,cf*-als
3.4779,cf*-als
3.4503,cf*-als
3.4353,cf*-als
3.4518,cf*-als
3.4506,cf*-als
3.4509,cf*-als
3.4484,cf*-als
3.4765,cf*-als
3.442,cf*-als
3.4789,cf*-als
3.4453,cf*-als
3.4538,cf*-als
3.4835,cf*-als
3.488,cf*-als
3.4748,cf*-als
3.4534,cf*-als
3.4721,cf*-als
3.4688,cf*-als
3.4534,cf*-als
3.4137,cf*-als
3.4694,cf*-als
3.4707,cf*-als
3.4742,cf*-als
3.4505,cf*-als
3.4785,cf*-als
3.4397,cf*-als
3.4489,cf*-als
3.4745,cf*-als
3.4867,cf*-als
3.425,cf*-als
3.5052,cf*-als
3.4801,cf-cvx
3.4464,cf-cvx
3.4862,cf-cvx
3.4544,cf-cvx
3.5232,cf-cvx
3.5026,cf-cvx
3.4766,cf-cvx
3.4729,cf-cvx
3.507,cf-cvx
3.5141,cf-cvx
3.465,cf-cvx
3.4818,cf-cvx
3.4912,cf-cvx
3.4824,cf-cvx
3.46,cf-cvx
3.4374,cf-cvx
3.5074,cf-cvx
3.4805,cf-cvx
3.4987,cf-cvx
3.4984,cf-cvx
3.4698,cf-cvx
3.4632,cf-cvx
3.4832,cf-cvx
3.4699,cf-cvx
3.485,cf-cvx
3.5434,cf-cvx
3.4718,cf-cvx
3.47,cf-cvx
3.4461,cf-cvx
3.4592,cf-cvx
3.4746,cf-cvx
3.4997,cf-cvx
3.4607,cf-cvx
3.4742,cf-cvx
3.4848,cf-cvx
3.517,cf-cvx
3.4835,cf-cvx
3.507,cf-cvx
3.4717,cf-cvx
3.4996,cf-cvx
3.4932,cf-cvx
3.4783,cf-cvx
3.4864,cf-cvx
3.4975,cf-cvx
3.4864,cf-cvx
3.4966,cf-cvx
3.4823,cf-cvx
3.4987,cf-cvx
3.4932,cf-cvx
3.4855,cf-cvx
3.4878,cf-cvx
3.5436,cf-cvx
3.5219,cf-cvx
3.4567,cf-cvx
3.4808,cf-cvx
3.4979,cf-cvx
3.4823,cf-cvx
3.51,cf-cvx
3.4568,cf-cvx
3.5151,cf-cvx
3.4337,cf-cvx
3.4631,cf-cvx
3.5106,cf-cvx
3.5354,cf-cvx
3.4694,cf-cvx
3.4694,cf-cvx
3.5541,cf-cvx
3.4741,cf-cvx
3.4611,cf-cvx
3.5084,cf-cvx
3.4781,cf-cvx
3.5223,cf-cvx
3.4801,cf-cvx
3.5206,cf-cvx
3.4589,cf-cvx
3.4794,cf-cvx
3.5408,cf-cvx
3.4784,cf-cvx
3.4811,cf-cvx
3.4474,cf-cvx
3.4599,cf-cvx
3.5325,cf-cvx
3.5115,cf-cvx
3.5075,cf-cvx
3.454,cf-cvx
3.4843,cf-cvx
3.4847,cf-cvx
3.4888,cf-cvx
